English,Arabic
City,مدينة
Be,يكون
New,جديد
Last,اخير
Big,كبير
Feel,يشعر
Hear,يسمع
Listen,يستمع
Run,يجري
Move,يتحرك
Play,يلعب
Live,يعيش
Believe,يؤمن / يصدق
Bring,يحضر
Write,يكتب
Read,يقرأ
Start,يبدأ
Stop,يتوقف
Keep,يحتفظ بـ / يستمر
Help,يساعد
I,أنا
You,أنت
He,هو
She,هي
We,نحن
They,هم
It,هو/هي
My,لي / خاصتي
Your,لك / خاصتك
His,له
Her,لها
Our,لنا
Their,لهم
person,شخص
